strategy,symbol,timeframe,direction,signal_time,entry_time,exit_time,entry_price,stop,target,exit_price,size,risk_amount,gross_pnl,commission,net_pnl,r_multiple,exit_reason,hold_bars,equity_after
ict_confluence,XAUUSD,60min,SHORT,2025-02-18T14:00:00,2025-02-18T15:00:00,2025-02-18T23:00:00,2908.89003900,2917.560159775,2892.4344854500,2917.810159775,11.53386470559286989863183307,100.00,-102.8834661763982174746579582,2.684059532261821347004246316,-105.5675257086600388216622045,-1.055675257086600388216622045,stop,8,9894.432474291339961178337796
ict_confluence,XAUUSD,60min,SHORT,2025-02-19T07:00:00,2025-02-19T08:00:00,2025-02-19T20:00:00,2933.32998000,2943.091226520,2916.8378169600,2943.341226520,10.13644359254573970249276913,98.94432474291339961178337796,-101.4784356410498345374065703,2.378682710447465823247865634,-103.8571183514973003606544359,-1.049652101031047415858113171,stop,11,9790.575355939842660817683360
ict_confluence,XAUUSD,60min,LONG,2025-03-08T08:00:00,2025-03-10T09:00:00,2025-03-10T19:00:00,2912.56992000,2898.066144175,2932.1875316500,2897.816144175,6.750363128933594546106881351,97.90575355939842660817683360,-99.59334434163182524470355394,1.572872367872725532197356458,-101.1662167095045507769009104,-1.033302058679605936338994677,stop,10,9689.409139230338110040782450
ict_confluence,XAUUSD,60min,LONG,2025-03-15T06:00:00,2025-03-15T07:00:00,2025-03-18T10:00:00,2984.16001000,2975.010251105,3002.0395577900,3001.8895577900,10.58979722900156060346198057,96.89409139230338110040782450,187.7523160579927427036604240,2.528131952383621550435416798,185.2241841056091211532250072,1.911614851267619112492471858,target,25,9874.633323335947231194007457
ict_confluence,XAUUSD,60min,LONG,2025-03-26T06:00:00,2025-03-26T07:00:00,2025-03-27T20:00:00,3019.80991000,3007.532804280,3039.3240314400,3039.1740314400,8.043128037294401689972583748,98.74633323335947231194007457,155.7481080716376433567703420,1.943097420353638704871996482,153.8050106512840046518983455,1.557576930859889996939767332,target,35,10028.43833398723123584590580
ict_confluence,XAUUSD,60min,LONG,2025-04-02T06:00:00,2025-04-02T07:00:00,2025-04-02T07:00:00,3118.82993000,3119.330122515,3126.37988000,3119.080122515,200.4915714100046306339851127,100.2843833398723123584590580,50.16149048737115469996277982,50.02392909010037947678941158,0.13756139727077522317336824,0.001371713049324618542122726428,stop,0,10028.57589538450201106907917
ict_confluence,XAUUSD,60min,SHORT,2025-04-10T11:00:00,2025-04-10T12:00:00,2025-04-10T13:00:00,3094.00991000,3126.290762220,3019.6084155600,3126.540762220,3.106663921707486448469320854,100.2857589538450201106907917,-101.0624249342718917228081219,0.7689639168641941754203826442,-101.8313888511360858982285045,-1.015412257068348240776401658,stop,1,9926.744506533365925170850666
ict_confluence,XAUUSD,60min,LONG,2025-04-23T08:00:00,2025-04-23T09:00:00,2025-04-23T10:00:00,3339.95000000,3313.930006440,3377.2599871200,3377.1099871200,3.815044951353695079535158296,99.26744506533365925170850666,141.7670212545243357199338579,1.019364750821901910471476156,140.7476565037024338094623817,1.417863191815486367860576826,target,1,10067.49216303706835898031305
ict_confluence,XAUUSD,60min,SHORT,2025-05-31T07:00:00,2025-05-31T08:00:00,2025-06-02T15:00:00,3297.75000000,3318.962595865,3242.8748082700,3319.212595865,4.745997249515349855075510840,100.6749216303706835898031305,-101.8614209427495210535720082,1.252088994367139598766021270,-103.1135099371166606523380295,-1.024222400844763371444167190,stop,26,9964.378653099951698327975020
ict_confluence,XAUUSD,60min,LONG,2025-06-03T11:00:00,2025-06-03T12:00:00,2025-06-03T15:00:00,3372.80000000,3358.612424190,3383.5051516200,3358.362424190,7.023313063868626967589028178,99.64378653099951698327975020,-101.3996147969666737251770072,1.895058424145288402902741939,-103.2946732211119621280797491,-1.036639381312317371856919085,stop,3,9861.083979878839736199895271
ict_confluence,XAUUSD,60min,SHORT,2025-06-11T11:00:00,2025-06-11T12:00:00,2025-06-11T14:00:00,3328.24000000,3342.042074285,3313.3259864300,3342.292074285,7.144639114568306887068674599,98.61083979878839736199895271,-100.3969995774304740837661214,1.902325894933665737105395644,-102.2993254723641398208715170,-1.037404464672463541953759308,stop,2,9758.784654406475596379023754
ict_confluence,XAUUSD,60min,LONG,2025-06-17T06:00:00,2025-06-17T07:00:00,2025-06-17T13:00:00,3384.75000000,3374.846509565,3409.2969808700,3374.596509565,9.853884060833624257828673062,97.58784654406475596379023754,-100.0513175592731620282474058,2.668234725992528776534848092,-102.7195522852656908047822539,-1.052585500376665936568857806,stop,6,9656.065102121209905574241500
ict_confluence,XAUUSD,60min,LONG,2025-06-19T08:00:00,2025-06-19T09:00:00,2025-06-19T15:00:00,3375.24000000,3366.695617600,3392.0287648000,3366.445617600,11.30106852675649196783870710,96.56065102121209905574241500,-99.38591815290122204770209176,3.051505482739966555962233420,-102.4374236356411886036643252,-1.060860946485728447734268073,stop,6,9553.627678485568716970577175
ict_confluence,XAUUSD,60min,SHORT,2025-06-21T13:00:00,2025-06-21T14:00:00,2025-06-23T00:00:00,3375.65000000,3384.984526255,3355.0309474900,3385.234526255,10.23472152469249090667491746,95.53627678485568716970577175,-98.09495716602880989637450115,2.763907017186256554329374810,-100.8588641832150664507038760,-1.055712736328898996706501846,stop,10,9452.768814302353650519873299
